position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity,cue_phrases,centrality
0.76,0,1,2,0.24,0.02852349,525.24,17,0,14,1,5,0,0.01735054
0.76,0,0,2,0.11,0.021812081,236.86,13,0,7,5,3,0.01,0.008556959
0.76,0,0,1,0.35,0.031879195,599.16,18,0,13,4,3,0.01,0.008320753
0.76,0,0,0,0.31,0.021812081,620.41,12,0,7,4,1,0,0.012609545
0.76,1,0,4,0.3,0.036912752,893.45,22,0,12,6,4,0.02,0.012817454
0.76,0,0,1,0.36,0.036912752,732.31,19,0,11,5,3,0.01,0.009607136
0.75,0,0,1,0.32,0.030201342,674.56,17,0,10,3,3,0.01,0.011153855
0.75,0,0,0,0.32,0.026845638,706.8,16,0,8,6,1,0.01,0.011609886
0.75,0,0,0,0.25,0.02852349,451.75,11,0,7,4,0,0,0.018143262
0.75,0,1,0,0.28,0.020134228,439.5,10,0,5,2,0,0,0.016080976
0.75,0,0,1,0.32,0.023489933,755.16,14,0,7,4,2,0.02,0.012404652
0.75,0,0,2,0.32,0.02852349,833.94,16,0,9,5,3,0.01,0.012014243
0.75,0,0,0,0.3,0.025167785,621.95,15,0,8,5,1,0.01,0.013600131
0.74,0,0,2,0.34,0.035234899,659.37,19,0,11,5,4,0.01,0.009757197
0.74,0,0,1,0.33,0.041946309,623.6,25,0,12,7,3,0.01,0.011626717
0.74,0,0,0,0.27,0.015100671,544.57,9,0,5,4,2,0,0.015879032
0.74,0,0,1,0.23,0.026845638,354.75,15,0,8,7,5,0.01,0.015871215
0.74,0,0,1,0.31,0.040268456,521.37,22,0,10,8,4,0.01,0.012393112
0.74,0,1,0,0.32,0.041946309,553.07,23,1,16,7,1,0.01,0.012706771
0.73,0,0,0,0.28,0.023489933,484.58,14,0,10,3,1,0.02,0.01372135
0.73,0,0,1,0.26,0.013422819,752.36,8,0,6,2,1,0.01,0.015911779
0.73,0,0,2,0.3,0.033557047,656.91,19,0,11,6,2,0.02,0.012614628
0.73,0,0,1,0.26,0.018456376,493.05,11,0,6,3,1,0.02,0.016335379
0.73,0,1,0,0.32,0.048657718,396.62,29,1,21,9,1,0.01,0.011656451
0.73,4,2,1,0.3,0.031879195,495.72,17,1,12,3,2,0.02,0.011580254
0.72,0,0,3,0.29,0.018456376,713.92,11,0,8,4,3,0.02,0.012372707
0.72,0,2,2,0.29,0.043624161,789.73,26,0,14,7,5,0.01,0.013280499
0.72,0,2,0,0.3,0.011744966,396.74,7,0,5,2,0,0.01,0.014365988
0.72,0,1,1,0.32,0.026845638,648.13,16,0,11,5,2,0.01,0.011221963
0.72,0,0,1,0.31,0.020134228,619.56,12,0,8,3,3,0.03,0.012721716
0.72,0,1,1,0.34,0.030201342,649.25,18,0,11,4,2,0.02,0.009285758
0.72,0,1,0,0.29,0.018456376,451.23,11,0,5,4,0,0.01,0.014153446
0.71,0,0,1,0.28,0.030201342,560.34,17,0,9,4,2,0,0.013323175
0.71,0,2,4,0.24,0.045302013,608.96,27,1,17,5,6,0.02,0.015128413
0.71,0,2,1,0.25,0.038590604,451.9,20,0,10,9,1,0.01,0.014829344
0.71,0,0,0,0.27,0.041946309,464.01,21,0,8,8,1,0.02,0.014002233
0.71,0,2,0,0.24,0.023489933,486.57,14,0,8,3,3,0,0.017240833
0.71,0,1,2,0.27,0.031879195,597.77,19,0,11,6,5,0.01,0.014406081
0.7,0,0,1,0.34,0.040268456,590.89,23,0,13,7,5,0.02,0.010671541
0.7,0,0,1,0.24,0.015100671,849.49,9,0,6,1,2,0.06,0.01736398
0.7,0,0,1,0.3,0.015100671,663.23,9,0,4,4,2,0.01,0.014432248
0.7,0,0,0,0.3,0.040268456,612.09,23,0,12,7,1,0.02,0.01257037
0.7,0,2,1,0.28,0.035234899,491.22,21,0,12,3,4,0,0.013984316
0.7,0,0,1,0.34,0.040268456,592.33,23,0,13,7,5,0.02,0.010445077
0.7,0,0,2,0.25,0.015100671,711.28,9,0,7,1,3,0.02,0.015360338
0.69,0,0,4,0.25,0.030201342,474.28,14,0,12,3,8,0.01,0.016526606
0.69,0,0,2,0.23,0.016778523,654.36,10,0,5,4,5,0.01,0.016157044
0.69,0,0,0,0.29,0.023489933,472.15,12,0,9,3,2,0,0.01531128
0.69,0,0,0,0.32,0.023489933,449.66,13,0,9,3,1,0.01,0.012635217
0.69,0,0,0,0.28,0.025167785,600.82,15,0,12,5,2,0.01,0.013418262
0.69,0,0,0,0.28,0.030201342,434.88,17,0,12,6,3,0,0.016142337
0.68,0,0,0,0.31,0.010067114,606.31,6,0,4,2,2,0.02,0.01413805
0.68,0,0,0,0.35,0.035234899,509.97,17,1,13,6,1,0.01,0.009788503
0.68,0,0,0,0.31,0.038590604,464.91,22,0,17,8,2,0,0.013008251
0.68,0,0,2,0.15,0.005033557,245.17,2,0,1,0,2,0,0.011868581
0.68,0,0,0,0.24,0.025167785,378.71,13,0,8,4,1,0.02,0.015683773
0.68,0,0,0,0.33,0.040268456,532.93,23,0,12,6,2,0,0.011510382
0.68,2,0,1,0.28,0.033557047,787.56,20,0,13,5,1,0.03,0.015153254
0.67,0,0,1,0.27,0.018456376,1005.58,11,0,6,2,2,0.01,0.013662671
